Power status;Alerts status;Meters status;Accounting status;In Contract;Connection type;Company;Printer;Printer's address;Manufacturer;Model;Serial;Site;Department;Contact;Asset number;Location;Days without meters;PAT;Last meter
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP049;172.31.26.207;HP;LaserJet Pro MFP 4103fdw;BRBSQ5Q04H;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;SUP. LANÇAMENTO E ARRECADAÇÃO ;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP026;172.31.24.203;HP;LaserJet Pro MFP 4103fdw;BRBSQ9904H;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;CAD;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;NoBillingRecently;True;Network;SEMFAZ;IMP048;172.31.21.204;HP;LaserJet Pro MFP 4103fdw;BRBSQ7H06T;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;CATN 2;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;NoBillingRecently;True;Network;SEMFAZ;IMP010;172.31.23.201;HP;LaserJet Pro MFP 4103fdw;BRBSQ980T4;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;AÇÃO FISCAL;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP024;172.31.26.204;HP;LaserJet Pro MFP 4103fdw;BRBSQ760PB;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;CTIR;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP037;172.31.22.203;HP;LaserJet Pro MFP 4103fdw;BRBSQ6B082;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;ITBI;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;imp001;172.31.20.201;HP;LaserJet Pro MFP 4103fdw;BRBSQ700T4;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;ATENDIMENTO 1 BALCÃO;;;;0;;09/09/2025
On;RedEvent;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP022;172.31.28.201;HP;LaserJet Pro MFP 4103fdw;BRBSQ6D0GM;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;GABINETE;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP029;172.31.24.202;HP;LaserJet Pro MFP 4103fdw;BRBSQ6D0J3;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;CPPL;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP003;172.31.20.203;HP;LaserJet Pro MFP 4103fdw;BRBSQ7H0DV;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;ATENDIMENTO;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP005;172.31.23.203;HP;LaserJet Pro MFP 4103fdw;BRBSQ7H005;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;SALA AUDITORES ;;;;0;;09/09/2025
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingRecently;True;Network;SEMFAZ;IMP038;172.31.29.201;HP;LaserJet Pro MFP 4103fdw;BRBSQ7H0C2;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;SUAINFO;;;;377;;28/08/2024
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP018;172.31.25.204;HP;LaserJet Pro MFP 4103fdw;BRBSQ6D081;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;TESOURARIA;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP009;172.31.26.203;HP;LaserJet Pro MFP 4103fdw;BRBSQ71049;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;LANÇAMENTO E ARRECADAÇÃO;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP017;172.31.20.204;HP;LaserJet Pro MFP 4103fdw;BRBSQ7H06V;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;ATENDIMENTO;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;NoBillingRecently;True;Network;SEMFAZ;IMP025;172.31.25.205;HP;LaserJet Pro MFP 4103fdw;BRBSQ7K09Y;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;CADASTRP MOBILIARIO;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP034;172.31.21.203;HP;LaserJet Pro MFP 4103fdw;BRBSQ6D0GS;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;NoBillingRecently;True;Network;SEMFAZ;IMP050;172.31.26.208;HP;LaserJet Pro MFP 4103fdw;BRBSQ7510X;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;FOROS;;;;0;;09/09/2025
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingRecently;True;Network;SEMFAZ;IMP047;172.31.22.206;HP;LaserJet Pro MFP 4103fdw;BRBSQ7M07L;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;SAF-GTEDUC;;;;235;;17/01/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP030;172.31.25.203;HP;LaserJet Pro MFP 4103fdw;BRBSQ7H06M;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;DEO;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP046;172.31.25.206;HP;LaserJet Pro MFP 4103fdw;BRBSQ750BR;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;SUP. TESOURARIA ;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP011;172.31.21.201;HP;LaserJet Pro MFP 4103fdw;BRBSQ6D05B;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;CATN;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;NoBillingRecently;True;Network;SEMFAZ;IMP014;172.31.23.204;HP;LaserJet Pro MFP 4103fdw;BRBSQ9904M;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;PLANEJAMENTO FISCAL;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP041;172.31.21.202;HP;LaserJet Pro MFP 4103fdw;BRBSQ6D0HS;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;TARF - CCM ;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;NoBillingRecently;True;Network;SEMFAZ;IMP008;172.31.22.202;HP;LaserJet Pro MFP 4103fdw;BRBSQ5Q0H4;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;SUP.CAD ;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;NoBillingRecently;True;Network;SEMFAZ;IMP016;172.31.22.201;HP;LaserJet Pro MFP 4103fdw;BRBSQ6D053;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;SIMPLES NACIONAL (SALA);;;;0;;09/09/2025
On;NoEvents;CountersEnabled;NoBillingRecently;True;Network;SEMFAZ;IMP044;172.31.23.207;HP;LaserJet Pro MFP 4103fdw;BRBSQ6D0J0;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;SALA AUDITORES ;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;NoBillingRecently;True;Network;SEMFAZ;IMP028;172.31.28.203;HP;LaserJet Pro MFP 4103fdw;BRBSQ7M0CT;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;ASSEJUR;;;;0;;09/09/2025
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingRecently;True;Network;SEMFAZ;IMP045;172.31.24.23;HP;LaserJet Pro MFP 4103fdw;BRBSQ6D0HV;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;ASCOM ;;;;301;;12/11/2024
Off;OrangeEvent;CountersEnabled;NoBillingRecently;True;Network;SEMFAZ;HP0B3ABD;172.31.27.205;HP;LaserJet Pro MFP 4103fdw;BRBSQ6F029;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;ATEND. SAGAT;;;;4;;05/09/2025
On;RedEvent;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP031;172.31.24.204;HP;Color LaserJet Pro MFP M479fdw;CNCRQ189S5;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;GESCONT (CONTRATOS);;;;0;;09/09/2025
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingData;True;Network;SEMFAZ;IMP015;172.31.23.205;HP;LaserJet Pro MFP 4103fdw;BRBSQ750CN;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;;;;;791;;11/07/2023
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP040;172.31.20.205;HP;LaserJet Pro MFP 4103fdw;BRBSQ980PV;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;ATENDIMENTO (COORD.) REFAZ ;;;;0;;09/09/2025
Unknown;NoMonitoringRecently;NoCountersRecently;NoBillingRecently;True;Network;SEMFAZ;imp002;172.31.20.202;HP;LaserJet Pro MFP 4103fdw;BRBSQ980T9;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;ATENDIMENTO 1 BALCÃO;;;;754;;17/08/2023
On;NoEvents;CountersEnabled;NoBillingRecently;True;Network;SEMFAZ;IMP020;172.31.26.201;HP;LaserJet Pro MFP 4103fdw;BRBSQ6D0J1;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;CONTROLE E CONCILIAÇÃO ;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;NoBillingRecently;True;Network;SEMFAZ;IMP012;172.31.26.202;HP;LaserJet Pro MFP 4103fdw;BRBSQ7105W;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;TRIBUTOS DIVERSOS;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP036;172.31.26.205;HP;LaserJet Pro MFP 4103fdw;BRBSQ7K06Q;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;ITBI;;;;0;;09/09/2025
On;NoEvents;CountersEnabled;BillingEnabled;True;Network;SEMFAZ;IMP006;172.31.23.202;HP;LaserJet Pro MFP 4103fdw;BRBSQ6D0HQ;SEMFAZ - SECRETARIA MUNICIPAL DA FAZENDA;SUPERINTENDÊNCIA DE FISCALIZAÇÃO;;;;0;;09/09/2025
